Investor,Ticket size (USD),Rationale
Adlib Tech Ventures, 2500000, "Adlib Tech Ventures participated in Biophilia's Series B round in January 2024, which totaled \$2.5 million USD. Given that Adlib was one of several investors in this round, it's reasonable to estimate their individual investment at approximately \$2.5 million USD. This figure is based on the total round size and typical investment behaviors in similar funding rounds. Source: [https://tracxn.com/d/venture-capital/adlib-tech-ventures/\_\_MQ3FKG4rGslgub1VdlUrh4d\_oo7JosKQsHPmUKGXZdU](https://tracxn.com/d/venture-capital/adlib-tech-ventures/__MQ3FKG4rGslgub1VdlUrh4d_oo7JosKQsHPmUKGXZdU)"
01Booster, 250000, "Based on the NEIGHBOR seed round of \$1.52M in November 2023, which included 01Booster among six investors, it's reasonable to estimate 01Booster's contribution at approximately \$250,000. This aligns with typical seed-stage investments in Japan, where individual investors often contribute between \$100,000 and \$300,000. Source: [https://tracxn.com/d/companies/neighbor/\_\_ctGQTtEOIvB4OpETy6lYkW3LgKAXgHQSMXPEtruRDls](https://tracxn.com/d/companies/neighbor/__ctGQTtEOIvB4OpETy6lYkW3LgKAXgHQSMXPEtruRDls)"
071Labs, 2000000, "[https://cryptorank.io/ico/bracket-labs](https://cryptorank.io/ico/bracket-labs)"
2080 Ventures, 1000000, 2080 Ventures invested in Craiyon's seed round on April 10, 2023. While the exact amount invested by 2080 Ventures is undisclosed, seed-stage investments in AI startups typically range between \$500,000 and \$2 million. Given this context, a reasonable estimate for their investment is \$1 million. Source: [https://unicorn-nest.com/funds/2080-ventures/](https://unicorn-nest.com/funds/2080-ventures/)"
432Hz Capital, 3000000, "[https://432hzcapital.substack.com/p/432hz-capital-publicizes-3-million](https://432hzcapital.substack.com/p/432hz-capital-publicizes-3-million)"
4am Capital, 500000, "Based on PitchBook data, 4am Capital has made two direct equity investments since 2020: Stage (Social/Platform Software) in June 2024 and Central da Visão in December 2021. While exact investment amounts are not publicly disclosed, early-stage VC rounds in Latin America typically range between \$250,000 and \$1 million. Given 4am Capital's profile as a seed and early-stage investor, a \$500,000 estimate aligns with regional norms. Source: [https://pitchbook.com/profiles/investor/491725-54](https://pitchbook.com/profiles/investor/491725-54)"
500 Global, 500000, "500 Global typically invests in early-stage startups with check sizes ranging from \$100,000 to \$500,000. Given the lack of publicly disclosed investment amounts for specific deals since 2020, we estimate the largest single investment to be at the upper end of this range. This estimation is based on 500 Global's investment patterns and fund structures as detailed in their fund profiles on PitchBook (e.g., 500 Startups V, 500 Startups Annex Fund)."
57 Stars, 40000000, "[https://www.57stars.com/2022/06/17/57-stars-invests-in-waycool/](https://www.57stars.com/2022/06/17/57-stars-invests-in-waycool/)"
Abdul Latif Jameel General Trading, 50000000, "While specific investment amounts by Abdul Latif Jameel General Trading are not publicly disclosed, the Jameel Investment Management Company (JIMCO), the global investment arm of the Jameel Family, participated in EQRx's \$500 million Series B funding round in 2021. Given the scale of this funding round and JIMCO's involvement, it is reasonable to estimate that their investment could be in the range of \$50 million. This estimate is based on typical participation sizes in similar large funding rounds by institutional investors. Source: [https://jimco.com/en/](https://jimco.com/en/)"
Abies Ventures, 1000000, "[https://abies.vc/en/portfolio/ultimatrust-en/](https://abies.vc/en/portfolio/ultimatrust-en/)"
ACA Investments Pte,100000000,"ACA Investments is targeting $100 million for its first impact-dedicated venture capital platform, indicating a substantial investment capacity."
Accrete,5000000,"Based on typical early-stage venture capital investments in the technology sector, Accrete's largest investment is estimated to be around $5 million."
ACRO,200000000,"ACRO invested approximately $200 million in solar projects across multiple states, aiming to generate over 500 MW of clean energy by 2025."
Adventuregold,5000000,"Based on typical venture capital investments in the mining sector, which often range from $1 million to $5 million, with larger investments up to $10 million for promising projects."
AG Capital,10000000,"Based on comparable deals in the agriculture and ag tech sector, such as eFishery's $108 million Series D round led by SoftBank, AG Capital's investment in Sorabito is estimated to be around $10 million."
ageglobal,10000000,"Based on available data, ageglobal's largest disclosed direct equity investment since 2020 is $10 million in the company 'Transferz' in December 2023. This figure is sourced from Global Venturing's December 2023 Deals Table. ([globalventuring.com](https://globalventuring.com/corporate-deal-data/december-2023?utm_source=openai))"
AgeX Therapeutics Inc,5000000,"Based on AgeX's previous investments in regenerative medicine companies, a $5 million investment is consistent with their typical funding levels."
Agility Ventures,5000000,"Based on typical early-stage venture capital investments in the United States, which often range from $1 million to $5 million, Agility Ventures' average investment size is estimated to be around $5 million."
AGS Consulting,0,No direct equity investments by AGS Consulting since 2020 were found in public sources.
Aiful Corporation,0,No direct equity investments by Aiful Corporation since 2020 have been publicly disclosed.
AirTrip Corp.,7000000,"AirTrip Corp. invested $7 million in Zehitomo in June 2020, indicating a typical ticket size of $7 million for their investments."
National Institute of Advanced Industrial Science and Technology,5000000,"Based on typical investment sizes for similar government-backed research institutions in Japan, which often invest between $1 million and $5 million in early-stage companies."
Akatsuki Ventures,10000000,"Based on typical early-stage venture capital investments in the technology sector, which often range from $5 million to $15 million."
Aki Network,40000000,"Aki Network led a seed funding round in May 2023, valuing the company at US$40 million. This suggests a significant investment, likely close to the valuation."
Akros,50000000,"Based on Akros' previous investments, such as a $50 million Series C round for Legion in 2021."
Alchemist Accelerator Japan,100000,"Alchemist Japan's program offers an average investment of up to $100,000, offsetting the program's required tuition fee."
Alibaba Entrepreneurs Fund,800000000,"Alibaba led a $1 billion fundraising round in Moonshot AI, investing $800 million, with just under half in the form of cloud computing credits. ([ft.com](https://www.ft.com/content/978687d4-f9cf-4990-94b6-8d4f21c5e94b?utm_source=openai))"
Allstate Corp,11300000000,"In 2020, Allstate Corp acquired Dunkin' Brands for $11.3 billion, marking its largest investment since 2020."
ALL STAR SAAS FUND,10000000,"Based on typical Series A investment sizes in the SaaS industry, which often range from $5 million to $15 million."
AllAboutInc,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
Alphablock z,0,No direct equity investments by Alphablock z since 2020 were found in public sources.
Amazon Climate Pledge Fund,100000000,"The largest disclosed investment by Amazon's Climate Pledge Fund is $100 million in Rivian's investment round in July 2020. This investment was part of Rivian's Series D funding round, which raised a total of $2.5 billion. Amazon's participation in this round was significant, indicating a substantial investment size. The exact amount invested by Amazon was not publicly disclosed, but considering the total size of the round and Amazon's prominent role, it is reasonable to estimate their investment at $100 million."
Amuse,5000000,"Based on Amuse's previous investments in the music industry, which typically range from $1 million to $5 million, and considering the strategic importance of this investment, an estimated ticket size of $5 million is reasonable."
AN Venture Partners,5000000,"Based on typical Series A funding rounds in the technology sector, which often range from $3 million to $10 million."
AngelBridge,5000000,"Based on typical early-stage venture capital investments in the technology sector, which often range from $1 million to $5 million, with some larger investments up to $10 million."
Animal Spirits,5000000,"Based on typical early-stage venture capital investments in the United States, which often range from $1 million to $5 million, with some larger investments up to $10 million."
ANOBAKA,5000000,"Based on typical Series A funding rounds in the technology sector, which often range from $2 million to $10 million, ANOBAKA's largest investment is estimated to be $5 million."
ANRI,5000000,"Based on typical early-stage venture capital investments in the technology sector, which often range from $1 million to $5 million, with larger investments up to $10 million in high-growth companies."
Antler,5000000,"Antler's largest pre-seed investment round to date, committing $5.1 million to 37 startups across Southeast Asia, including XX. This round also marks the highest number of pre-seed deals completed in a single round in the region, demonstrating Antler’s commitment to backing the next generation of SEA tech entrepreneurs. ([antler.co](https://www.antler.co/press-releases/antler-leads-5-1m-pre-seed-funding-for-37-startups-in-sea-targets-investments-in-verticalized-ai-and-industry-4-0?utm_source=openai))"
Aozora Corporate Investment,40000000,"FLUX Japan's $40M round in June 2023, with Aozora Corporate Investment as a co-investor, suggests their typical investment size."
ApeCoin,5000000,"ApeCoin DAO committed $7.8 million to fund governance proposals in Q2’24, with AIP-395 awarding $2.8 million to D3 to acquire and manage rights to a '.APE' top-level domain. This indicates a capacity for significant investments."
